Date,Type,Loss,LNum,Win,WNum,Amount,Volume,Avg,CumLoss,CumWin,Psh,PnL,CumPnL,TradeVol,Opening,LPsh,WPsh
2023-08-25,Y,-19340.0,88.0,76460.0,176.0,1729507120.0,22411.0,8390.73,-2162200.0,3149700.0,,57120.0,987500.0,503.0,239.0,-22.0,43.0
2023-08-28,Y,-9340.0,49.0,171640.0,280.0,1783563920.0,23045.0,8526.31,-2171540.0,3321340.0,,162300.0,1149800.0,634.0,305.0,-19.0,61.0
2023-08-29,Y,-17740.0,35.0,35040.0,102.0,1804213660.0,23289.0,8463.01,-2189280.0,3356380.0,,17300.0,1167100.0,244.0,107.0,-51.0,34.0
2023-08-30,Y,-18720.0,43.0,11040.0,37.0,1823803460.0,23520.0,8480.43,-2208000.0,3367420.0,,-7680.0,1159420.0,231.0,151.0,-44.0,30.0
2023-08-31,Y,-14640.0,76.0,38480.0,87.0,1850846900.0,23838.0,8504.23,-2222640.0,3405900.0,,23840.0,1183260.0,318.0,155.0,-19.0,44.0
2023-09-01,Y,-22400.0,38.0,,,1862734900.0,23978.0,8491.43,-2245040.0,3405900.0,,-22400.0,1160860.0,140.0,102.0,-59.0,0.0
2023-09-04,Y,-8440.0,66.0,121940.0,199.0,1896785400.0,24380.0,8470.27,-2253480.0,3527840.0,,113500.0,1274360.0,402.0,137.0,-13.0,61.0
2023-09-05,Y,-200.0,4.0,41000.0,101.0,1920107520.0,24658.0,8389.25,-2253680.0,3568840.0,,40800.0,1315160.0,278.0,173.0,-5.0,41.0
2023-09-06,Y,-9800.0,68.0,45760.0,104.0,1944554360.0,24948.0,8429.94,-2263480.0,3614600.0,,35960.0,1351120.0,290.0,118.0,-14.0,44.0
2023-09-07,Y,-10280.0,61.0,21660.0,80.0,1966779860.0,25214.0,8355.45,-2273760.0,3636260.0,,11380.0,1362500.0,266.0,125.0,-17.0,27.0
2023-09-08,Y,-4420.0,45.0,54620.0,138.0,1996984560.0,25580.0,8252.65,-2278180.0,3690880.0,,50200.0,1412700.0,366.0,183.0,-10.0,40.0
2023-09-11,Y,-37880.0,103.0,6560.0,28.0,2024209600.0,25909.0,8275.09,-2316060.0,3697440.0,,-31320.0,1381380.0,329.0,198.0,-37.0,23.0
2023-09-12,Y,-5140.0,30.0,22980.0,82.0,2042058420.0,26125.0,8263.34,-2321200.0,3720420.0,,17840.0,1399220.0,216.0,104.0,-17.0,28.0
2023-09-13,Y,-28920.0,101.0,117520.0,187.0,2084099580.0,26635.0,8243.36,-2350120.0,3837940.0,,88600.0,1487820.0,510.0,222.0,-29.0,63.0
2023-09-14,Y,-12600.0,27.0,19200.0,51.0,2103942300.0,26876.0,8233.49,-2362720.0,3857140.0,,6600.0,1494420.0,241.0,163.0,-47.0,38.0
2023-09-15,Y,-15000.0,24.0,74560.0,189.0,2135210880.0,27251.0,8338.29,-2377720.0,3931700.0,,59560.0,1553980.0,375.0,162.0,-62.0,39.0
2023-09-18,Y,-25780.0,78.0,36520.0,88.0,2167655260.0,27646.0,8213.77,-2403500.0,3968220.0,,10740.0,1564720.0,395.0,229.0,-33.0,41.0
2023-09-19,Y,-20120.0,39.0,,,2174402500.0,27729.0,8129.2,-2423620.0,3968220.0,,-20120.0,1544600.0,83.0,44.0,-52.0,0.0
2023-09-20,Y,-78880.0,93.0,22440.0,61.0,2198746220.0,28030.0,8087.61,-2502500.0,3990660.0,,-56440.0,1488160.0,301.0,147.0,-85.0,37.0
2023-09-21,Y,-153160.0,183.0,3020.0,42.0,2228892940.0,28409.0,7954.28,-2655660.0,3993680.0,,-150140.0,1338020.0,379.0,154.0,-84.0,7.0
2023-09-22,Y,-2320.0,8.0,7800.0,41.0,2245914680.0,28625.0,7880.44,-2657980.0,4001480.0,,5480.0,1343500.0,216.0,167.0,-29.0,19.0
2023-09-25,Y,-90740.0,146.0,20900.0,73.0,2271117220.0,28942.0,7950.33,-2748720.0,4022380.0,,-69840.0,1273660.0,317.0,98.0,-62.0,29.0
2023-09-26,Y,-3120.0,15.0,20280.0,54.0,2283873140.0,29102.0,7972.45,-2751840.0,4042660.0,,17160.0,1290820.0,160.0,91.0,-21.0,38.0
2023-09-27,Y,-14080.0,60.0,7560.0,16.0,2293801000.0,29226.0,8006.34,-2765920.0,4050220.0,,-6520.0,1284300.0,124.0,48.0,-23.0,47.0
2023-09-28,Y,-9280.0,19.0,,,2295338820.0,29245.0,8093.79,-2775200.0,4050220.0,,-9280.0,1275020.0,19.0,0.0,-49.0,0.0
